s,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"SD.000","SD.001","SD.002","SD.003","SD.004","SD.005","SD.006","SD.007","SD.008","SD.009","SD.010","SD.011","SD.012","SD.013","SD.014","SD.015","SD.016","SD.017","SD.018","SD.019","SD.020","SD.021","SD.022","SD.023","SD.024","SD.025","SD.026","SD.027","SD.028","SD.029","SD.030","SD.201","SD.202","SD.203","SD.204","SD.205","SD.206","SD.207","SD.208","SD.209","SD.210","SD.211","SD.212","SD.213","SD.214","SD.215","SD.216","SD.217","SD.218","SD.219","SD.220","SD.221","SD.222","SD.223","SD.224","SD.225","SD.226","SD.227","SD.228","SD.229","SD.230","SD.231","TD.000","TD.001","TD.002","TD.003","TD.004","TD.005","TD.006","TD.007","TD.008","TD.009","TD.010","TD.011","TD.012","TD.013","TD.014","TD.015","TD.016","TD.017","TD.018","TD.019","TD.020","TD.021","TD.022","TD.023","TD.024","TD.025","TD.026","TD.027","TD.028","TD.029","TD.030","TD.201","TD.202","TD.203","TD.204","TD.205","TD.206","TD.207","TD.208","TD.209","TD.210","TD.211","TD.212","TD.213","TD.214","TD.215","TD.216","TD.217","TD.218","TD.219","TD.220","TD.221","TD.222","TD.223","TD.224","TD.225","TD.226","TD.227","TD.228","TD.229","TD.230","TD.231"
 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 6.5141369E-001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999995E+001, 2.0000005E+001, 1.9999993E+001, 1.9999987E+001, 1.9999989E+001, 1.9999987E+001, 1.9999997E+001, 2.0000010E+001, 2.0000000E+001, 2.0000006E+001, 1.9999998E+001, 1.9999961E+001, 2.0000012E+001, 2.0000022E+001, 2.0000031E+001, 2.0000014E+001, 2.0000000E+001, 2.0000007E+001, 2.0000029E+001, 2.0000001E+001, 1.9999989E+001, 1.9999998E+001, 2.0000001E+001, 1.9999989E+001, 2.0000005E+001, 1.9999987E+001, 1.9999984E+001, 1.9999957E+001, 1.9999997E+001, 1.9999998E+001, 2.0000015E+001, 2.0000001E+001, 1.9999990E+001, 1.9999975E+001, 2.0000025E+001, 2.0000008E+001, 1.9999994E+001, 2.0000000E+001, 2.0000001E+001, 2.0000007E+001, 1.9999999E+001, 2.0000001E+001, 1.9999988E+001, 1.9999998E+001, 2.0000006E+001, 2.0000012E+001, 2.0000009E+001, 2.0000020E+001, 2.0000021E+001, 2.0000030E+001, 1.9999981E+001, 2.0000003E+001, 1.9999996E+001, 1.9999969E+001, 2.0000004E+001, 2.0000004E+001, 2.0000037E+001, 2.0000015E+001, 2.0000013E+001, 1.9999975E+001, 2.0000017E+001, 1.9999992E+001
 1.2376860E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999989E+001, 2.0000009E+001, 1.9999983E+001, 1.9999970E+001, 1.9999974E+001, 1.9999971E+001, 1.9999990E+001, 2.0000022E+001, 2.0000000E+001, 2.0000014E+001, 1.9999997E+001, 1.9999913E+001, 2.0000028E+001, 2.0000050E+001, 2.0000072E+001, 2.0000032E+001, 2.0000000E+001, 2.0000016E+001, 2.0000066E+001, 2.0000002E+001, 1.9999976E+001, 1.9999996E+001, 2.0000004E+001, 1.9999974E+001, 2.0000012E+001, 1.9999970E+001, 1.9999962E+001, 1.9999905E+001, 1.9999992E+001, 1.9999995E+001, 2.0000036E+001, 2.0000002E+001, 1.9999977E+001, 1.9999946E+001, 2.0000058E+001, 2.0000020E+001, 1.9999988E+001, 2.0000000E+001, 2.0000002E+001, 2.0000017E+001, 1.9999999E+001, 2.0000003E+001, 1.9999971E+001, 1.9999995E+001, 2.0000012E+001, 2.0000029E+001, 2.0000021E+001, 2.0000047E+001, 2.0000052E+001, 2.0000067E+001, 1.9999956E+001, 2.0000006E+001, 1.9999988E+001, 1.9999926E+001, 2.0000010E+001, 2.0000009E+001, 2.0000085E+001, 2.0000034E+001, 2.0000032E+001, 1.9999943E+001, 2.0000040E+001, 1.9999981E+001
 1.8239583E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999983E+001, 2.0000013E+001, 1.9999974E+001, 1.9999956E+001, 1.9999960E+001, 1.9999956E+001, 1.9999980E+001, 2.0000030E+001, 1.9999998E+001, 2.0000020E+001, 1.9999996E+001, 1.9999874E+001, 2.0000042E+001, 2.0000073E+001, 2.0000106E+001, 2.0000048E+001, 2.0000000E+001, 2.0000025E+001, 2.0000097E+001, 2.0000004E+001, 1.9999965E+001, 1.9999994E+001, 2.0000006E+001, 1.9999961E+001, 2.0000021E+001, 1.9999955E+001, 1.9999942E+001, 1.9999864E+001, 1.9999987E+001, 1.9999991E+001, 2.0000054E+001, 2.0000003E+001, 1.9999966E+001, 1.9999922E+001, 2.0000087E+001, 2.0000031E+001, 1.9999983E+001, 2.0000000E+001, 2.0000004E+001, 2.0000026E+001, 1.9999999E+001, 2.0000005E+001, 1.9999955E+001, 1.9999994E+001, 2.0000018E+001, 2.0000046E+001, 2.0000029E+001, 2.0000072E+001, 2.0000083E+001, 2.0000097E+001, 1.9999935E+001, 2.0000008E+001, 1.9999980E+001, 1.9999888E+001, 2.0000015E+001, 2.0000013E+001, 2.0000129E+001, 2.0000052E+001, 2.0000049E+001, 1.9999915E+001, 2.0000059E+001, 1.9999971E+001
 2.4102306E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999977E+001, 2.0000015E+001, 1.9999965E+001, 1.9999944E+001, 1.9999946E+001, 1.9999944E+001, 1.9999969E+001, 2.0000037E+001, 1.9999996E+001, 2.0000024E+001, 1.9999996E+001, 1.9999840E+001, 2.0000054E+001, 2.0000094E+001, 2.0000138E+001, 2.0000064E+001, 2.0000000E+001, 2.0000035E+001, 2.0000127E+001, 2.0000006E+001, 1.9999955E+001, 1.9999994E+001, 2.0000009E+001, 1.9999950E+001, 2.0000031E+001, 1.9999942E+001, 1.9999923E+001, 1.9999830E+001, 1.9999981E+001, 1.9999986E+001, 2.0000071E+001, 2.0000005E+001, 1.9999958E+001, 1.9999903E+001, 2.0000113E+001, 2.0000043E+001, 1.9999979E+001, 2.0000000E+001, 2.0000006E+001, 2.0000036E+001, 2.0000000E+001, 2.0000009E+001, 1.9999940E+001, 1.9999992E+001, 2.0000023E+001, 2.0000062E+001, 2.0000036E+001, 2.0000096E+001, 2.0000114E+001, 2.0000122E+001, 1.9999915E+001, 2.0000009E+001, 1.9999970E+001, 1.9999852E+001, 2.0000020E+001, 2.0000018E+001, 2.0000169E+001, 2.0000068E+001, 2.0000066E+001, 1.9999890E+001, 2.0000078E+001, 1.9999960E+001
 3.0616443E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999972E+001, 2.0000015E+001, 1.9999956E+001, 1.9999932E+001, 1.9999930E+001, 1.9999932E+001, 1.9999956E+001, 2.0000042E+001, 1.9999993E+001, 2.0000028E+001, 1.9999998E+001, 1.9999809E+001, 2.0000065E+001, 2.0000114E+001, 2.0000168E+001, 2.0000079E+001, 2.0000000E+001, 2.0000045E+001, 2.0000155E+001, 2.0000008E+001, 1.9999946E+001, 1.9999995E+001, 2.0000012E+001, 1.9999938E+001, 2.0000043E+001, 1.9999930E+001, 1.9999904E+001, 1.9999800E+001, 1.9999976E+001, 1.9999979E+001, 2.0000087E+001, 2.0000007E+001, 1.9999950E+001, 1.9999886E+001, 2.0000139E+001, 2.0000055E+001, 1.9999975E+001, 2.0000000E+001, 2.0000009E+001, 2.0000045E+001, 2.0000001E+001, 2.0000013E+001, 1.9999924E+001, 1.9999990E+001, 2.0000027E+001, 2.0000078E+001, 2.0000040E+001, 2.0000121E+001, 2.0000147E+001, 2.0000144E+001, 1.9999897E+001, 2.0000008E+001, 1.9999959E+001, 1.9999817E+001, 2.0000026E+001, 2.0000023E+001, 2.0000207E+001, 2.0000083E+001, 2.0000084E+001, 1.9999867E+001, 2.0000096E+001, 1.9999950E+001
 3.6479166E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999967E+001, 2.0000015E+001, 1.9999947E+001, 1.9999921E+001, 1.9999915E+001, 1.9999923E+001, 1.9999943E+001, 2.0000046E+001, 1.9999989E+001, 2.0000030E+001, 2.0000000E+001, 1.9999782E+001, 2.0000076E+001, 2.0000131E+001, 2.0000195E+001, 2.0000094E+001, 2.0000000E+001, 2.0000055E+001, 2.0000182E+001, 2.0000011E+001, 1.9999937E+001, 1.9999996E+001, 2.0000015E+001, 1.9999928E+001, 2.0000057E+001, 1.9999919E+001, 1.9999886E+001, 1.9999775E+001, 1.9999970E+001, 1.9999972E+001, 2.0000102E+001, 2.0000009E+001, 1.9999944E+001, 1.9999872E+001, 2.0000163E+001, 2.0000067E+001, 1.9999972E+001, 2.0000001E+001, 2.0000011E+001, 2.0000054E+001, 2.0000002E+001, 2.0000018E+001, 1.9999909E+001, 1.9999988E+001, 2.0000030E+001, 2.0000093E+001, 2.0000044E+001, 2.0000145E+001, 2.0000179E+001, 2.0000162E+001, 1.9999880E+001, 2.0000006E+001, 1.9999946E+001, 1.9999782E+001, 2.0000031E+001, 2.0000028E+001, 2.0000241E+001, 2.0000097E+001, 2.0000102E+001, 1.9999846E+001, 2.0000112E+001, 1.9999939E+001
 4.2341890E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999962E+001, 2.0000013E+001, 1.9999938E+001, 1.9999912E+001, 1.9999900E+001, 1.9999915E+001, 1.9999931E+001, 2.0000049E+001, 1.9999986E+001, 2.0000031E+001, 2.0000002E+001, 1.9999761E+001, 2.0000086E+001, 2.0000146E+001, 2.0000218E+001, 2.0000106E+001, 2.0000000E+001, 2.0000065E+001, 2.0000206E+001, 2.0000013E+001, 1.9999930E+001, 1.9999998E+001, 2.0000018E+001, 1.9999919E+001, 2.0000072E+001, 1.9999910E+001, 1.9999870E+001, 1.9999755E+001, 1.9999964E+001, 1.9999965E+001, 2.0000115E+001, 2.0000010E+001, 1.9999940E+001, 1.9999861E+001, 2.0000184E+001, 2.0000079E+001, 1.9999969E+001, 2.0000001E+001, 2.0000014E+001, 2.0000063E+001, 2.0000004E+001, 2.0000023E+001, 1.9999894E+001, 1.9999986E+001, 2.0000033E+001, 2.0000107E+001, 2.0000045E+001, 2.0000167E+001, 2.0000209E+001, 2.0000177E+001, 1.9999865E+001, 2.0000004E+001, 1.9999933E+001, 1.9999751E+001, 2.0000036E+001, 2.0000032E+001, 2.0000270E+001, 2.0000109E+001, 2.0000119E+001, 1.9999828E+001, 2.0000127E+001, 1.9999930E+001
 4.8204613E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999958E+001, 2.0000011E+001, 1.9999930E+001, 1.9999904E+001, 1.9999886E+001, 1.9999910E+001, 1.9999919E+001, 2.0000051E+001, 1.9999982E+001, 2.0000031E+001, 2.0000004E+001, 1.9999743E+001, 2.0000095E+001, 2.0000160E+001, 2.0000238E+001, 2.0000118E+001, 1.9999999E+001, 2.0000074E+001, 2.0000228E+001, 2.0000016E+001, 1.9999924E+001, 2.0000001E+001, 2.0000022E+001, 1.9999910E+001, 2.0000088E+001, 1.9999902E+001, 1.9999856E+001, 1.9999739E+001, 1.9999958E+001, 1.9999957E+001, 2.0000126E+001, 2.0000012E+001, 1.9999936E+001, 1.9999852E+001, 2.0000203E+001, 2.0000090E+001, 1.9999967E+001, 2.0000001E+001, 2.0000017E+001, 2.0000071E+001, 2.0000006E+001, 2.0000029E+001, 1.9999880E+001, 1.9999984E+001, 2.0000035E+001, 2.0000120E+001, 2.0000046E+001, 2.0000188E+001, 2.0000237E+001, 2.0000190E+001, 1.9999852E+001, 2.0000001E+001, 1.9999920E+001, 1.9999721E+001, 2.0000041E+001, 2.0000037E+001, 2.0000295E+001, 2.0000121E+001, 2.0000135E+001, 1.9999812E+001, 2.0000141E+001, 1.9999920E+001
