s,m,m,m,m,m,m,m,m,m,m,m,m,m,m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"SD.000","SD.001","SD.002","SD.003","SD.004","SD.005","SD.006","SD.007","SD.008","SD.009","SD.010","SD.011","SD.012","SD.013","TD.000","TD.001","TD.002","TD.003","TD.004","TD.005","TD.006","TD.007","TD.008","TD.009","TD.010","TD.011","TD.012","TD.013","TD.014"
 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 6.0664752E-001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000003E+001, 1.9999999E+001, 2.0000033E+001, 2.0000001E+001, 2.0000031E+001, 2.0000035E+001, 2.0000019E+001, 2.0000002E+001, 2.0000005E+001, 1.9999991E+001, 2.0000018E+001, 1.9999995E+001, 1.9999992E+001, 1.9999997E+001
 1.2132950E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000009E+001, 2.0000000E+001, 2.0000073E+001, 2.0000004E+001, 2.0000068E+001, 2.0000077E+001, 2.0000044E+001, 2.0000005E+001, 2.0000013E+001, 1.9999982E+001, 2.0000044E+001, 1.9999995E+001, 1.9999984E+001, 1.9999994E+001
 1.8199426E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000017E+001, 2.0000004E+001, 2.0000111E+001, 2.0000008E+001, 2.0000103E+001, 2.0000115E+001, 2.0000070E+001, 2.0000009E+001, 2.0000024E+001, 1.9999977E+001, 2.0000071E+001, 1.9999998E+001, 1.9999976E+001, 1.9999992E+001
 2.4265901E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000026E+001, 2.0000009E+001, 2.0000145E+001, 2.0000012E+001, 2.0000135E+001, 2.0000149E+001, 2.0000096E+001, 2.0000011E+001, 2.0000034E+001, 1.9999972E+001, 2.0000097E+001, 2.0000003E+001, 1.9999968E+001, 1.9999990E+001
 3.0332376E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000034E+001, 2.0000014E+001, 2.0000176E+001, 2.0000017E+001, 2.0000165E+001, 2.0000179E+001, 2.0000122E+001, 2.0000014E+001, 2.0000045E+001, 1.9999968E+001, 2.0000123E+001, 2.0000008E+001, 1.9999960E+001, 1.9999988E+001
 3.6398851E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000041E+001, 2.0000019E+001, 2.0000204E+001, 2.0000021E+001, 2.0000193E+001, 2.0000206E+001, 2.0000149E+001, 2.0000015E+001, 2.0000055E+001, 1.9999965E+001, 2.0000147E+001, 2.0000014E+001, 1.9999952E+001, 1.9999986E+001
 4.2465326E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000049E+001, 2.0000025E+001, 2.0000229E+001, 2.0000026E+001, 2.0000218E+001, 2.0000230E+001, 2.0000175E+001, 2.0000017E+001, 2.0000064E+001, 1.9999962E+001, 2.0000171E+001, 2.0000020E+001, 1.9999944E+001, 1.9999984E+001
 4.8531801E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000056E+001, 2.0000030E+001, 2.0000252E+001, 2.0000031E+001, 2.0000242E+001, 2.0000251E+001, 2.0000201E+001, 2.0000017E+001, 2.0000073E+001, 1.9999959E+001, 2.0000194E+001, 2.0000026E+001, 1.9999937E+001, 1.9999982E+001
 5.4598277E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000063E+001, 2.0000035E+001, 2.0000272E+001, 2.0000036E+001, 2.0000264E+001, 2.0000270E+001, 2.0000227E+001, 2.0000018E+001, 2.0000082E+001, 1.9999957E+001, 2.0000215E+001, 2.0000032E+001, 1.9999929E+001, 1.9999980E+001
 6.0664752E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000070E+001, 2.0000039E+001, 2.0000290E+001, 2.0000040E+001, 2.0000285E+001, 2.0000287E+001, 2.0000253E+001, 2.0000017E+001, 2.0000090E+001, 1.9999955E+001, 2.0000237E+001, 2.0000038E+001, 1.9999922E+001, 1.9999978E+001
 6.6731227E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000077E+001, 2.0000043E+001, 2.0000306E+001, 2.0000045E+001, 2.0000303E+001, 2.0000302E+001, 2.0000278E+001, 2.0000017E+001, 2.0000098E+001, 1.9999953E+001, 2.0000257E+001, 2.0000044E+001, 1.9999914E+001, 1.9999976E+001
 7.2797702E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000083E+001, 2.0000047E+001, 2.0000320E+001, 2.0000050E+001, 2.0000321E+001, 2.0000315E+001, 2.0000303E+001, 2.0000015E+001, 2.0000106E+001, 1.9999952E+001, 2.0000277E+001, 2.0000050E+001, 1.9999906E+001, 1.9999974E+001
 7.8864177E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000090E+001, 2.0000051E+001, 2.0000332E+001, 2.0000054E+001, 2.0000337E+001, 2.0000326E+001, 2.0000327E+001, 2.0000014E+001, 2.0000113E+001, 1.9999952E+001, 2.0000296E+001, 2.0000056E+001, 1.9999899E+001, 1.9999972E+001
 8.4930652E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000097E+001, 2.0000055E+001, 2.0000342E+001, 2.0000059E+001, 2.0000351E+001, 2.0000336E+001, 2.0000351E+001, 2.0000012E+001, 2.0000119E+001, 1.9999952E+001, 2.0000315E+001, 2.0000061E+001, 1.9999891E+001, 1.9999970E+001
 9.0997128E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000103E+001, 2.0000058E+001, 2.0000351E+001, 2.0000064E+001, 2.0000365E+001, 2.0000345E+001, 2.0000374E+001, 2.0000010E+001, 2.0000126E+001, 1.9999952E+001, 2.0000333E+001, 2.0000066E+001, 1.9999884E+001, 1.9999969E+001
 9.6052524E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000110E+001, 2.0000061E+001, 2.0000358E+001, 2.0000068E+001, 2.0000376E+001, 2.0000352E+001, 2.0000395E+001, 2.0000008E+001, 2.0000132E+001, 1.9999953E+001, 2.0000350E+001, 2.0000071E+001, 1.9999877E+001, 1.9999967E+001
 1.0211900E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000116E+001, 2.0000064E+001, 2.0000364E+001, 2.0000073E+001, 2.0000387E+001, 2.0000359E+001, 2.0000415E+001, 2.0000006E+001, 2.0000137E+001, 1.9999954E+001, 2.0000366E+001, 2.0000076E+001, 1.9999870E+001, 1.9999966E+001
 1.0818547E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000124E+001, 2.0000067E+001, 2.0000369E+001, 2.0000078E+001, 2.0000398E+001, 2.0000365E+001, 2.0000438E+001, 2.0000004E+001, 2.0000143E+001, 1.9999956E+001, 2.0000384E+001, 2.0000081E+001, 1.9999863E+001, 1.9999964E+001
 1.1425195E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000132E+001, 2.0000071E+001, 2.0000374E+001, 2.0000083E+001, 2.0000409E+001, 2.0000371E+001, 2.0000459E+001, 2.0000002E+001, 2.0000150E+001, 1.9999959E+001, 2.0000401E+001, 2.0000086E+001, 1.9999856E+001, 1.9999964E+001
 1.2031842E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000141E+001, 2.0000075E+001, 2.0000378E+001, 2.0000089E+001, 2.0000419E+001, 2.0000376E+001, 2.0000481E+001, 2.0000001E+001, 2.0000156E+001, 1.9999962E+001, 2.0000419E+001, 2.0000092E+001, 1.9999850E+001, 1.9999964E+001
 1.2638490E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000151E+001, 2.0000080E+001, 2.0000382E+001, 2.0000096E+001, 2.0000430E+001, 2.0000382E+001, 2.0000503E+001, 1.9999999E+001, 2.0000163E+001, 1.9999967E+001, 2.0000438E+001, 2.0000098E+001, 1.9999844E+001, 1.9999964E+001
 1.3245137E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000161E+001, 2.0000085E+001, 2.0000385E+001, 2.0000103E+001, 2.0000441E+001, 2.0000387E+001, 2.0000525E+001, 1.9999999E+001, 2.0000170E+001, 1.9999972E+001, 2.0000456E+001, 2.0000104E+001, 1.9999840E+001, 1.9999966E+001
 1.3851785E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000172E+001, 2.0000090E+001, 2.0000389E+001, 2.0000111E+001, 2.0000451E+001, 2.0000393E+001, 2.0000548E+001, 1.9999999E+001, 2.0000178E+001, 1.9999979E+001, 2.0000475E+001, 2.0000111E+001, 1.9999836E+001, 1.9999969E+001
 1.4458432E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000185E+001, 2.0000096E+001, 2.0000393E+001, 2.0000120E+001, 2.0000463E+001, 2.0000399E+001, 2.0000571E+001, 2.0000000E+001, 2.0000187E+001, 1.9999987E+001, 2.0000495E+001, 2.0000119E+001, 1.9999833E+001, 1.9999973E+001
 1.5065080E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000198E+001, 2.0000103E+001, 2.0000397E+001, 2.0000130E+001, 2.0000475E+001, 2.0000406E+001, 2.0000595E+001, 2.0000001E+001, 2.0000196E+001, 1.9999996E+001, 2.0000516E+001, 2.0000128E+001, 1.9999831E+001, 1.9999978E+001
 1.5671728E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000213E+001, 2.0000110E+001, 2.0000402E+001, 2.0000141E+001, 2.0000487E+001, 2.0000414E+001, 2.0000619E+001, 2.0000004E+001, 2.0000207E+001, 2.0000006E+001, 2.0000538E+001, 2.0000137E+001, 1.9999830E+001, 1.9999984E+001
