s,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"SD.000","SD.001","SD.002","SD.003","SD.004","SD.005","SD.006","SD.007","SD.008","SD.009","SD.010","SD.011","SD.012","SD.013","SD.014","SD.015","SD.016","SD.017","SD.018","SD.019","SD.020","SD.021","SD.022","SD.023","SD.024","SD.025","SD.026","SD.027","SD.028","SD.029","SD.030","SD.201","SD.202","SD.203","SD.204","SD.205","SD.206","SD.207","SD.208","SD.209","SD.210","SD.211","SD.212","SD.213","SD.214","SD.215","SD.216","SD.217","SD.218","SD.219","SD.220","SD.221","SD.222","SD.223","SD.224","SD.225","SD.226","SD.227","SD.228","SD.229","SD.230","SD.231","TD.000","TD.001","TD.002","TD.003","TD.004","TD.005","TD.006","TD.007","TD.008","TD.009","TD.010","TD.011","TD.012","TD.013","TD.014","TD.015","TD.016","TD.017","TD.018","TD.019","TD.020","TD.021","TD.022","TD.023","TD.024","TD.025","TD.026","TD.027","TD.028","TD.029","TD.030","TD.201","TD.202","TD.203","TD.204","TD.205","TD.206","TD.207","TD.208","TD.209","TD.210","TD.211","TD.212","TD.213","TD.214","TD.215","TD.216","TD.217","TD.218","TD.219","TD.220","TD.221","TD.222","TD.223","TD.224","TD.225","TD.226","TD.227","TD.228","TD.229","TD.230","TD.231"
 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 6.0357332E-001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999996E+001, 1.9999980E+001, 1.9999984E+001, 2.0000010E+001, 1.9999973E+001, 2.0000026E+001, 1.9999992E+001, 1.9999948E+001, 1.9999987E+001, 2.0000020E+001, 2.0000011E+001, 2.0000021E+001, 2.0000006E+001, 1.9999977E+001, 1.9999975E+001, 1.9999983E+001, 2.0000003E+001, 1.9999997E+001, 2.0000009E+001, 1.9999985E+001, 1.9999979E+001, 2.0000003E+001, 1.9999995E+001, 1.9999977E+001, 1.9999983E+001, 1.9999999E+001, 1.9999982E+001, 1.9999997E+001, 1.9999997E+001, 2.0000003E+001, 1.9999963E+001, 1.9999976E+001, 2.0000013E+001, 2.0000019E+001, 1.9999998E+001, 1.9999980E+001, 1.9999993E+001, 1.9999987E+001, 2.0000019E+001, 1.9999980E+001, 2.0000019E+001, 2.0000001E+001, 2.0000018E+001, 2.0000027E+001, 1.9999985E+001, 1.9999994E+001, 1.9999979E+001, 2.0000043E+001, 1.9999980E+001, 2.0000002E+001, 2.0000040E+001, 2.0000010E+001, 2.0000030E+001, 1.9999972E+001, 2.0000006E+001, 1.9999999E+001, 1.9999985E+001, 1.9999966E+001, 1.9999991E+001, 2.0000020E+001, 2.0000010E+001, 1.9999965E+001
 1.2071466E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999992E+001, 1.9999957E+001, 1.9999965E+001, 2.0000022E+001, 1.9999942E+001, 2.0000057E+001, 1.9999982E+001, 1.9999889E+001, 1.9999973E+001, 2.0000044E+001, 2.0000024E+001, 2.0000047E+001, 2.0000014E+001, 1.9999950E+001, 1.9999947E+001, 1.9999965E+001, 2.0000007E+001, 1.9999992E+001, 2.0000020E+001, 1.9999969E+001, 1.9999955E+001, 2.0000008E+001, 1.9999988E+001, 1.9999951E+001, 1.9999964E+001, 1.9999997E+001, 1.9999961E+001, 1.9999996E+001, 1.9999994E+001, 2.0000007E+001, 1.9999921E+001, 1.9999946E+001, 2.0000027E+001, 2.0000042E+001, 1.9999997E+001, 1.9999956E+001, 1.9999985E+001, 1.9999974E+001, 2.0000041E+001, 1.9999957E+001, 2.0000041E+001, 2.0000001E+001, 2.0000041E+001, 2.0000060E+001, 1.9999968E+001, 1.9999989E+001, 1.9999957E+001, 2.0000096E+001, 1.9999958E+001, 2.0000005E+001, 2.0000085E+001, 2.0000022E+001, 2.0000066E+001, 1.9999941E+001, 2.0000014E+001, 1.9999998E+001, 1.9999967E+001, 1.9999927E+001, 1.9999981E+001, 2.0000044E+001, 2.0000020E+001, 1.9999923E+001
 1.8107199E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999990E+001, 1.9999934E+001, 1.9999946E+001, 2.0000034E+001, 1.9999913E+001, 2.0000088E+001, 1.9999974E+001, 1.9999840E+001, 1.9999964E+001, 2.0000068E+001, 2.0000039E+001, 2.0000071E+001, 2.0000021E+001, 1.9999927E+001, 1.9999924E+001, 1.9999949E+001, 2.0000010E+001, 1.9999985E+001, 2.0000028E+001, 1.9999954E+001, 1.9999933E+001, 2.0000014E+001, 1.9999983E+001, 1.9999926E+001, 1.9999945E+001, 1.9999994E+001, 1.9999940E+001, 1.9999996E+001, 1.9999990E+001, 2.0000009E+001, 1.9999885E+001, 1.9999916E+001, 2.0000039E+001, 2.0000062E+001, 1.9999996E+001, 1.9999934E+001, 1.9999978E+001, 1.9999963E+001, 2.0000062E+001, 1.9999936E+001, 2.0000063E+001, 2.0000003E+001, 2.0000063E+001, 2.0000091E+001, 1.9999953E+001, 1.9999988E+001, 1.9999941E+001, 2.0000146E+001, 1.9999939E+001, 2.0000006E+001, 2.0000125E+001, 2.0000034E+001, 2.0000100E+001, 1.9999914E+001, 2.0000023E+001, 1.9999998E+001, 1.9999948E+001, 1.9999890E+001, 1.9999971E+001, 2.0000066E+001, 2.0000028E+001, 1.9999884E+001
 2.4142933E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999990E+001, 1.9999912E+001, 1.9999928E+001, 2.0000047E+001, 1.9999886E+001, 2.0000118E+001, 1.9999966E+001, 1.9999797E+001, 1.9999957E+001, 2.0000091E+001, 2.0000053E+001, 2.0000095E+001, 2.0000027E+001, 1.9999906E+001, 1.9999904E+001, 1.9999936E+001, 2.0000014E+001, 1.9999978E+001, 2.0000035E+001, 1.9999941E+001, 1.9999912E+001, 2.0000023E+001, 1.9999978E+001, 1.9999904E+001, 1.9999928E+001, 1.9999991E+001, 1.9999919E+001, 1.9999996E+001, 1.9999986E+001, 2.0000011E+001, 1.9999852E+001, 1.9999888E+001, 2.0000049E+001, 2.0000080E+001, 1.9999997E+001, 1.9999915E+001, 1.9999971E+001, 1.9999954E+001, 2.0000081E+001, 1.9999919E+001, 2.0000082E+001, 2.0000004E+001, 2.0000084E+001, 2.0000121E+001, 1.9999940E+001, 1.9999989E+001, 1.9999928E+001, 2.0000195E+001, 1.9999923E+001, 2.0000006E+001, 2.0000161E+001, 2.0000045E+001, 2.0000132E+001, 1.9999889E+001, 2.0000032E+001, 1.9999999E+001, 1.9999930E+001, 1.9999856E+001, 1.9999962E+001, 2.0000087E+001, 2.0000034E+001, 1.9999848E+001
 3.0178666E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999991E+001, 1.9999891E+001, 1.9999911E+001, 2.0000059E+001, 1.9999861E+001, 2.0000147E+001, 1.9999958E+001, 1.9999758E+001, 1.9999950E+001, 2.0000114E+001, 2.0000068E+001, 2.0000116E+001, 2.0000033E+001, 1.9999888E+001, 1.9999887E+001, 1.9999926E+001, 2.0000017E+001, 1.9999969E+001, 2.0000041E+001, 1.9999930E+001, 1.9999893E+001, 2.0000032E+001, 1.9999974E+001, 1.9999884E+001, 1.9999912E+001, 1.9999988E+001, 1.9999900E+001, 1.9999996E+001, 1.9999982E+001, 2.0000013E+001, 1.9999823E+001, 1.9999860E+001, 2.0000057E+001, 2.0000096E+001, 1.9999997E+001, 1.9999897E+001, 1.9999964E+001, 1.9999946E+001, 2.0000100E+001, 1.9999904E+001, 2.0000101E+001, 2.0000005E+001, 2.0000105E+001, 2.0000149E+001, 1.9999929E+001, 1.9999990E+001, 1.9999918E+001, 2.0000240E+001, 1.9999909E+001, 2.0000006E+001, 2.0000193E+001, 2.0000056E+001, 2.0000162E+001, 1.9999867E+001, 2.0000041E+001, 2.0000000E+001, 1.9999913E+001, 1.9999825E+001, 1.9999953E+001, 2.0000107E+001, 2.0000040E+001, 1.9999814E+001
 3.6214399E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999992E+001, 1.9999872E+001, 1.9999894E+001, 2.0000072E+001, 1.9999838E+001, 2.0000174E+001, 1.9999950E+001, 1.9999723E+001, 1.9999944E+001, 2.0000136E+001, 2.0000083E+001, 2.0000137E+001, 2.0000039E+001, 1.9999872E+001, 1.9999871E+001, 1.9999917E+001, 2.0000020E+001, 1.9999960E+001, 2.0000045E+001, 1.9999920E+001, 1.9999876E+001, 2.0000041E+001, 1.9999970E+001, 1.9999866E+001, 1.9999897E+001, 1.9999984E+001, 1.9999881E+001, 1.9999996E+001, 1.9999978E+001, 2.0000014E+001, 1.9999797E+001, 1.9999833E+001, 2.0000064E+001, 2.0000111E+001, 1.9999999E+001, 1.9999881E+001, 1.9999957E+001, 1.9999938E+001, 2.0000117E+001, 1.9999891E+001, 2.0000118E+001, 2.0000006E+001, 2.0000125E+001, 2.0000176E+001, 1.9999919E+001, 1.9999992E+001, 1.9999909E+001, 2.0000283E+001, 1.9999898E+001, 2.0000005E+001, 2.0000221E+001, 2.0000066E+001, 2.0000188E+001, 1.9999846E+001, 2.0000050E+001, 2.0000002E+001, 1.9999897E+001, 1.9999796E+001, 1.9999944E+001, 2.0000125E+001, 2.0000044E+001, 1.9999782E+001
 4.2250132E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999995E+001, 1.9999853E+001, 1.9999879E+001, 2.0000084E+001, 1.9999817E+001, 2.0000201E+001, 1.9999943E+001, 1.9999691E+001, 1.9999937E+001, 2.0000159E+001, 2.0000098E+001, 2.0000156E+001, 2.0000043E+001, 1.9999858E+001, 1.9999857E+001, 1.9999910E+001, 2.0000023E+001, 1.9999949E+001, 2.0000049E+001, 1.9999911E+001, 1.9999859E+001, 2.0000051E+001, 1.9999967E+001, 1.9999849E+001, 1.9999884E+001, 1.9999980E+001, 1.9999863E+001, 1.9999995E+001, 1.9999974E+001, 2.0000015E+001, 1.9999775E+001, 1.9999807E+001, 2.0000070E+001, 2.0000124E+001, 2.0000001E+001, 1.9999866E+001, 1.9999951E+001, 1.9999932E+001, 2.0000132E+001, 1.9999881E+001, 2.0000133E+001, 2.0000008E+001, 2.0000145E+001, 2.0000202E+001, 1.9999909E+001, 1.9999993E+001, 1.9999902E+001, 2.0000324E+001, 1.9999888E+001, 2.0000003E+001, 2.0000248E+001, 2.0000076E+001, 2.0000213E+001, 1.9999826E+001, 2.0000059E+001, 2.0000004E+001, 1.9999881E+001, 1.9999769E+001, 1.9999936E+001, 2.0000142E+001, 2.0000047E+001, 1.9999752E+001
 4.8285865E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999998E+001, 1.9999835E+001, 1.9999864E+001, 2.0000096E+001, 1.9999797E+001, 2.0000227E+001, 1.9999936E+001, 1.9999662E+001, 1.9999932E+001, 2.0000180E+001, 2.0000113E+001, 2.0000173E+001, 2.0000048E+001, 1.9999845E+001, 1.9999844E+001, 1.9999905E+001, 2.0000026E+001, 1.9999938E+001, 2.0000051E+001, 1.9999904E+001, 1.9999844E+001, 2.0000062E+001, 1.9999964E+001, 1.9999833E+001, 1.9999871E+001, 1.9999976E+001, 1.9999846E+001, 1.9999995E+001, 1.9999970E+001, 2.0000015E+001, 1.9999756E+001, 1.9999781E+001, 2.0000074E+001, 2.0000136E+001, 2.0000004E+001, 1.9999853E+001, 1.9999945E+001, 1.9999926E+001, 2.0000147E+001, 1.9999872E+001, 2.0000148E+001, 2.0000010E+001, 2.0000164E+001, 2.0000226E+001, 1.9999901E+001, 1.9999995E+001, 1.9999896E+001, 2.0000364E+001, 1.9999881E+001, 2.0000000E+001, 2.0000272E+001, 2.0000086E+001, 2.0000235E+001, 1.9999807E+001, 2.0000068E+001, 2.0000007E+001, 1.9999866E+001, 1.9999744E+001, 1.9999927E+001, 2.0000158E+001, 2.0000050E+001, 1.9999724E+001
